yr,season,cat_no,cat_type,PM,TOG,NOx,SOx,CO,CO2,CH4,N2O,HFC,BCO2
1990,Annual,527,Area,0.012,0.027,0.004,0.002,0.921,36.71,0.0057,0.0014,0,0
1990,Annual,534,Area,0,0.01,0,0.01,0.18,5.89,0.0009,0.0002,0,0
1990,Annual,541,Area,0.018,0.041,0.006,0.004,1.386,49.71,0.0077,0.0019,0,0
1990,Annual,548,Area,0.019,0.043,0.006,0.004,1.447,52.08,0.0081,0.002,0,0
1990,Annual,555,Area,0.012,0.016,0.002,0,0.794,34.2,0.0053,0.0013,0,0
1990,Annual,562,Area,0.003,0.006,0.001,0.001,0.196,8.93,0.0014,0.0003,0,0
1990,Annual,593,Area,0,0,0,0,0.003,0.41,0.0001,0,0,0
1990,Annual,597,Area,0.01,0.024,0.003,0.002,0.804,30.1,0.0047,0.0012,0,0
1990,Annual,615,Area,0.005,0.01,0.002,0.001,0.349,14.31,0.0022,0.0005,0,0
1990,Annual,619,Area,0,0,0,0,0,0,0,0,0,0
1990,Annual,626,Area,0,0,0,0,0.016,2.35,0.0004,0.0001,0,0
1990,Annual,632,Area,0,0,0,0,0.015,2.12,0.0003,0.0001,0,0
1990,Annual,639,Area,0.44,0.78,0.32,0.03,1.79,0,0,0,0,0
1990,Annual,646,Area,0.116,0.651,0.199,0.015,1.818,18.18,0.002,0.0007,0,0
1990,Annual,658,Area,1.6,5.05,3.456,0.311,6.916,827.46,0.0395,0.0258,0,0
1990,Annual,670,Area,0,0,0,0,0.01,3.89,0.0004,0.0001,0,0
1990,Annual,673,Area,0,0,0,0,0.002,0.7,0.0001,0,0,0
1990,Annual,676,Area,0,0,0,0,0.002,0.51,0.0001,0,0,0
1990,Annual,679,Area,0,0,0,0,0,0.05,0,0,0,0
1990,Annual,682,Area,0.01,0.04,0.02,0,0.09,0,0,0,0,0
1990,Annual,687,Area,0.012,0.057,0.028,0.004,0.112,106.96,0.0964,0.0034,0,0
1990,Annual,694,Area,0.002,0.001,0.004,0.001,0.014,3.19,0.0029,0.0001,0,0
1990,Annual,699,Area,0,0.02,0,0,0.02,13.06,0.0005,0.0001,0,0
1990,Annual,702,Area,0,0.003,0.002,0.01,0.01,3.98,0.0002,0,0,0
1990,Annual,705,Area,0,0.003,0,0,0.005,2.89,0.0001,0,0,0
1990,Annual,708,Area,0,0,0,0,0,0.2,0,0,0,0
1990,Annual,711,Area,0,0.004,0.001,0,0.289,0.02,0,0,0,0
1990,Annual,744,Area,13.796,0,0,0,0,0,0,0,0,0
1990,Annual,745,Area,13.895,0,0,0,0,0,0,0,0,0
1990,Annual,746,Area,3.607,0,0,0,0,0,0,0,0,0
1990,Annual,747,Area,7.946,0,0,0,0,0,0,0,0,0
1990,Annual,748,Area,13.859,0,0,0,0,0,0,0,0,0
1990,Annual,749,Area,3.338,0,0,0,0,0,0,0,0,0
1990,Annual,750,Area,0.234,0.301,0.087,0,3.632,0,0.0362,0.0007,0,24.03
1990,Annual,753,Area,0.022,0.007,0.001,0,0.027,2.34,0.0075,0.0005,0,0
1990,Annual,756,Area,5.946,0,0,0,0,0,0,0,0,0
1990,Annual,757,Area,0.008,0,0,0,0,0,0,0,0,0
1990,Annual,758,Area,0.542,0,0,0,0,0,0,0,0,0
1990,Annual,760,Area,3.184,5.606,0,0,0,0,3.9432,0,0,0
1990,Annual,761,Area,0,0.126,0,0,0,0,0.0783,0,0,0
1990,Annual,764,Area,11.747,0,0,0,0,0,0,0,0,0
1990,Annual,765,Area,0.594,0,0,0,0,0,0,0,0,0
1990,Annual,766,Area,1.338,0.098,0.063,0,1.163,0,0,0,0,0
1990,Annual,784,Area,0,57.043,0,0,0,0,0,0,0,0
1990,Annual,785,Area,0,18.478,0,0,0,0,0,0,0,0
1990,Annual,786,Area,0,19.993,0,0,0,0,0,0,0,0
1990,Annual,787,Area,0,14.746,0,0,0,0,0,0,0,0
1990,Annual,868,Area,0,27,0,0,0,0,28.0712,0,0,0
1990,Annual,935,Area,0,0.521,0,0,0,0,0,0,0,0
1990,Annual,936,Area,0.284,0.951,10.94,0.267,2.133,301.1,0.0165,0.1208,0,0
1990,Annual,939,Area,0,0.233,0,0,0,0,0,0,0,0
1990,Annual,940,Area,0,0.345,0,0,0,0,0,0,0,0
1990,Annual,1010,Area,0,0.06,0,0,0,0,0,0,0,0
1990,Annual,1011,Area,0,1.245,0,0,0,0,0,0,0,0
1990,Annual,1012,Area,0,1.15,0,0,0,0,0,0,0,0
1990,Annual,1014,Area,0,0.495,0,0,0,0,0,0,0,0
1990,Annual,1015,Area,0,0.972,0,0,0,0,0,0,0,0
1990,Annual,1016,Area,0,1.443,0,0,0,0,0,0,0,0
1990,Annual,1019,Area,0,1.383,0,0,0,0,0,0,0,0
1990,Annual,1020,Area,0,0.261,0,0,0,0,0,0,0,0
1990,Annual,1021,Area,0,0.521,0,0,0,0,0,0,0,0
1990,Annual,1022,Area,0,1.678,0,0,0,0,0,0,0,0
1990,Annual,1023,Area,0,0.958,0,0,0,0,0,0,0,0
1990,Annual,1026,Area,0,3.771,0,0,0,0,0,0,0,0
1990,Annual,1027,Area,0,0.799,0,0,0,0,0,0,0,0
1990,Annual,1028,Area,0,0.768,0,0,0,0,0,0,0,0
1990,Annual,1030,Area,0,0.053,0,0,0,0,0,0,0,0
1990,Annual,1031,Area,0,0.421,0,0,0,0,0,0,0,0
1990,Annual,1032,Area,0,0.077,0,0,0,0,0,0,0,0
1990,Annual,1035,Area,0,0.426,0,0,0,0,0,0,0,0
1990,Annual,1039,Area,0,0.009,0,0,0,0,0,0,0,0
1990,Annual,1042,Area,0,1.472,0,0,0,0,0,0,0,0
1990,Annual,1043,Area,0,3.211,0,0,0,0,0,0,0,0
1990,Annual,1044,Area,0,0.144,0,0,0,0,0,0,0,0
1990,Annual,1045,Area,0,2.391,0,0,0,0,0,0,0,0
1990,Annual,1048,Area,0,0.012,0,0,0,0,0,0,0,0
1990,Annual,1049,Area,0,0.013,0,0,0,0,0,0,0,0
1990,Annual,1052,Area,0,0.125,0,0,0,0,0,0,0,0
1990,Annual,1053,Area,0,0.186,0,0,0,0,0,0,0,0
1990,Annual,1054,Area,0,0.003,0,0,0,0,0,0,0,0
1990,Annual,1055,Area,0,0.398,0,0,0,0,0,0,0,0
1990,Annual,1056,Area,0,0.014,0,0,0,0,0,0,0,0
1990,Annual,1059,Area,0,0.053,0,0,0,0,0,0,0,0
1990,Annual,1060,Area,0,0.18,0,0,0,0,0,0,0,0
1990,Annual,1061,Area,0,0.038,0,0,0,0,0,0,0,0
1990,Annual,1063,Area,0,0.03,0,0,0,0,0,0,0,0
1990,Annual,1064,Area,0,0.111,0,0,0,0,0,0,0,0
1990,Annual,1065,Area,0,0.006,0,0,0,0,0,0,0,0
1990,Annual,1068,Area,0,0.001,0,0,0,0,0,0,0,0
1990,Annual,1075,Area,0,0.266,0,0,0,0,0,0,0,0
1990,Annual,1110,Area,0.025,0.088,0.704,0.001,1.733,104.71,0.0084,0.0146,0,0
1990,Annual,1111,Area,0.006,0.02,0.16,0,0.394,18.36,0.0014,0.0028,0,0
1990,Annual,1112,Area,0.004,0.015,0.12,0,0.289,17.26,0.0016,0.0024,0,0
1990,Annual,1115,Area,0.09,3.15,5.24,0.4,8.41,3454.95,0.147,0.1133,0,0
1990,Annual,1119,Area,0.006,0.065,0.67,0.07,1.05,362.72,0.0132,0.0122,0,0
1990,Annual,1123,Area,0.024,0.129,1.121,0.049,0.845,683.74,0.0184,0.0169,0,0
1990,Annual,1127,Area,0.01,0.14,0.17,0.01,0.35,102.8,0.01,0.003,0,0
1990,Annual,1128,Area,0.022,0.34,0.52,1,1,373,0.0184,0.0115,0,0
1990,Annual,1129,Area,0,0.017,0.07,0.002,0.071,34.54,0.0017,0.0011,0,0
1990,Annual,1130,Area,0.02,0.35,0.12,0.02,0.64,118.36,0.0403,0.0037,0,0
1990,Annual,1131,Area,0.004,0.004,0.002,0.01,0.01,200.94,0.0063,0.0073,0,0
1990,Annual,1132,Area,0.006,0.1,0.018,0.004,0.273,20.34,0.0004,0.0008,0,0
1990,Annual,1158,Area,0,26.994,0,0,0,0,26.7548,0.0015,0,89.71
1990,Annual,1190,Area,0,0.997,0,0,0,0,0,0,0,0
1990,Annual,1191,Area,0,0.574,0,0,0,0,0,0,0,0
1990,Annual,1192,Area,0,0.036,0,0,0,0,0,0,0,0
1990,Annual,1193,Area,0,0.296,0,0,0,0,0,0,0,0
1990,Annual,1275,Area,0,1.026,0,0,0,0,0,0,0,0
1990,Annual,1277,Area,0,0.407,0,0,0,0,0,0,0,0
1990,Annual,1279,Area,0,0.277,0,0,0,0,0,0,0,0
1990,Annual,1281,Area,0,0.088,0,0,0,0,0,0,0,0
1990,Annual,1434,Area,0,12.44,0,0,0,0,0,0,0,0
1990,Annual,1435,Area,1.868,0,0,0,0,0,0,0,0,0
1990,Annual,1440,Area,0,0.296,0,0,0,0,0,0,0,0
1990,Annual,1441,Area,0,0.549,0,0,0,0,0,0,0,0
1990,Annual,1442,Area,0,0.071,0,0,0,0,0,0,0,0
1990,Annual,1443,Area,0,0.262,0,0,0,0,0,0,0,0
1990,Annual,1444,Area,0,0.475,0,0,0,0,0,0,0,0
1990,Annual,1445,Area,0,2.517,0,0,0,0,0,0,0,0
1990,Annual,1446,Area,0,0.119,0,0,0,0,0,0,0,0
1990,Annual,1447,Area,0,0.385,0,0,0,0,0,0,0,0
1990,Annual,1448,Area,0,0.581,0,0,0,0,0,0,0,0
1990,Annual,1449,Area,0,0.045,0,0,0,0,0,0,0,0
1990,Annual,1450,Area,0,0.054,0,0,0,0,0,0,0,0
1990,Annual,1451,Area,0,0.062,0,0,0,0,0,0,0,0
1990,Annual,1452,Area,0,0.067,0,0,0,0,0,0,0,0
1990,Annual,1453,Area,0,0.121,0,0,0,0,0,0,0,0
1990,Annual,1454,Area,0,0.047,0,0,0,0,0,0,0,0
1990,Annual,1455,Area,0,0.009,0,0,0,0,0,0,0,0
1990,Annual,1456,Area,0,0.012,0,0,0,0,0,0,0,0
1990,Annual,1457,Area,0,0.001,0,0,0,0,0,0,0,0
1990,Annual,1458,Area,0,0.212,0,0,0,0,0,0,0,0
1990,Annual,1459,Area,0,0.013,0,0,0,0,0,0,0,0
1990,Annual,1460,Area,0,0.141,0,0,0,0,0,0,0,0
1990,Annual,1461,Area,0,0.417,0,0,0,0,0,0,0,0
1990,Annual,1462,Area,0,0.248,0,0,0,0,0,0,0,0
1990,Annual,1463,Area,0,0.011,0,0,0,0,0,0,0,0
1990,Annual,1464,Area,0,0.441,0,0,0,0,0,0,0,0
1990,Annual,1465,Area,0,0.05,0,0,0,0,0,0,0,0
1990,Annual,1466,Area,0,0.105,0,0,0,0,0,0,0,0
1990,Annual,1467,Area,0,0.018,0,0,0,0,0,0,0,0
1990,Annual,1468,Area,0,0.018,0,0,0,0,0,0,0,0
1990,Annual,1469,Area,0,0.024,0,0,0,0,0,0,0,0
1990,Annual,1470,Area,0,0.005,0,0,0,0,0,0,0,0
1990,Annual,1471,Area,0,0.165,0,0,0,0,0,0,0,0
1990,Annual,1472,Area,0,0.018,0,0,0,0,0,0,0,0
1990,Annual,1473,Area,0,0.71,0,0,0,0,0,0,0,0
