yr,season,cat_no,cat_type,PM,TOG,NOx,SOx,CO,CO2,CH4,N2O,HFC,BCO2
1990,Annual,267,Point,0,0.004,0,0,0,0,0,0,0,0
1990,Annual,268,Point,0,1.487,0,0,0,0,0,0,0.0005,0
1990,Annual,269,Point,0,0.3,0,0,0,0,0,0,0,0
1990,Annual,270,Point,0,0.072,0,0,0,0,0,0,0,0
1990,Annual,271,Point,0,0.007,0,0,0,0,0,0,0,0
1990,Annual,272,Point,0,1.646,0,0,0,0,0,0,0,0
1990,Annual,273,Point,0,1.209,0,0,0,0,0,0,0,0
1990,Annual,274,Point,0,2.924,0,0,0,0,0,0,0,0
1990,Annual,275,Point,0,1.399,0,0,0,0,0,0,0,0
1990,Annual,276,Point,0,0.208,0,0,0,0,0,0,0,0
1990,Annual,277,Point,0,0.025,0,0,0,0,0,0,0,0
1990,Annual,278,Point,0,0.098,0,0,0,0,0,0,0,0
1990,Annual,279,Point,0,0.069,0,0,0,0,0,0,0,0
1990,Annual,280,Point,0,1.407,0,0,0,0,0,0,0.0467,0
1990,Annual,281,Point,0,0.349,0,0,0,0,0,0,0,0
1990,Annual,282,Point,0,1.139,0,0,0,0.22,0,0,0,0
1990,Annual,290,Point,0.034,0.034,0.86,0.035,0.845,273.23,0.0029,0,0,0
1990,Annual,291,Point,0.482,1.28,9.72,0.344,2.57,6405.82,0.5238,0.007,0,37.81
1990,Annual,292,Point,0.051,0.762,1.036,0.031,0.415,99.61,1.7408,0.0005,0,176.5
1990,Annual,293,Point,0.63,0.37,29.89,0.13,8.53,2417.99,0.0059,0.0018,0,0
1990,Annual,297,Point,0.066,0.008,0.399,0.678,0.035,95.52,0.0008,0.0008,0,0
1990,Annual,298,Point,0.76,0.29,18.31,1.06,2.13,9684.93,0.1963,0.0116,0,0
1990,Annual,299,Point,1.11,0.68,26.81,3.05,2.41,13553.24,0.7194,0.0483,0,0
1990,Annual,300,Point,0,0.03,0.95,0,0.14,338.02,0.0038,0.0035,0,0
1990,Annual,301,Point,0.01,0.06,0.99,2.72,0.48,2082.54,0.0607,0.0121,0,0
1990,Annual,302,Point,0,0,0,0,0,0,0,0,0,0
1990,Annual,303,Point,0.098,4.83,5.85,0.053,5.63,400.25,5.9933,0.0015,0,579.06
1990,Annual,304,Point,0.056,0.068,0.6,0.048,0.184,65.77,0.0024,0.0005,0,0.01
1990,Annual,305,Point,0.1,0.07,1.74,0.05,0.93,940.48,0.0264,0.001,0,0
1990,Annual,306,Point,0.063,0.06,0.066,0.012,0.116,23.49,0.0006,0.0002,0,0
1990,Annual,307,Point,0.145,0.196,13.8,0.025,2.43,6331.29,0.1201,0.0103,0,0
1990,Annual,308,Point,0,0.001,0.019,0.001,0.002,2.44,0.0001,0,0,0
1990,Annual,309,Point,0.04,0.018,0.544,0.339,0.114,35.73,0.0014,0.0002,0,0
1990,Annual,310,Point,0,0.001,0.001,0.001,0,3.33,0,0,0,0
1990,Annual,311,Point,0.026,0.691,1.528,1.876,0.867,1493.79,0.0422,0.0087,0,0
1990,Annual,312,Point,0.046,0.406,0.375,0.116,0.215,275.46,0.0791,0.0003,0,31.91
1990,Annual,314,Point,0.002,0.024,0.148,0.011,0.001,1.08,0.0016,0.0006,0,25.4
1990,Annual,796,Point,0,2.992,0,0,0,0,0,0,0,0
1990,Annual,800,Point,0,0.962,0,0,0,0,0,0,0,0
1990,Annual,898,Point,0,0.84,0,0,0,0,0,0,0,0
1990,Annual,937,Point,0,0.391,0,0,0,3.06,0.011,0,0,0
1990,Annual,938,Point,0,0.564,0,0,0,0,0,0,0,0
1990,Annual,968,Point,0.008,0.012,4.53,0.001,0.09,162.22,0.0025,0.0003,0,0
1990,Annual,1157,Point,2.239,206.826,0.01,0,0,0,230.1555,0.0114,0,588.55
1990,Annual,1241,Point,0,2.369,0,0,0,0,0,0,0,0
1990,Annual,1243,Point,0,4.374,0,0,0,0,0,0,0.0548,0
1990,Annual,1245,Point,0,0.843,0,0,0,0,0,0,0,0
1990,Annual,1595,Point,0,0.001,0.01,0,0,229.44,0.0102,0.0002,0,0.56
1990,Annual,1686,Point,0.044,1.529,0.209,0.118,0.782,0.01,1.1845,0.0014,0,687.37
1990,Annual,1687,Point,0.033,0.97,0.173,0.027,0.473,1.57,1.0537,0.0006,0,249.67
1990,Annual,1709,Point,0.01,0.022,0,0,0,0,0,0,0,0
1990,Annual,1747,Point,0,0.001,0.319,0.089,0.178,60.9,0.0018,0.0004,0,0
1990,Annual,1748,Point,0.036,1.065,5.39,1.21,7.278,1086.96,0.0695,0.0165,0,0
1990,Annual,1749,Point,0,0.002,0.116,0,0.006,39.28,0.0006,0.0001,0,0
1991,Annual,10,Point,1.13,0.77,0.31,25.22,0,0.07,0,0,0,0
1991,Annual,11,Point,0,7.05,0,0,0,1.21,0,0,0,0
1991,Annual,12,Point,0,0.31,0,0,0,0.07,0,0,0,0
1991,Annual,13,Point,0,1.27,0,0,0,0,0,0,0,0
1991,Annual,14,Point,0,0.01,0,0,0,0,0,0,0,0
1991,Annual,15,Point,0.09,15.5,2.24,12.81,0.8,4461.92,1.804,0.0224,0,0
1991,Annual,16,Point,0.06,0.21,0.02,0.02,0.05,8203.46,0,0,0,0
1991,Annual,17,Point,0,11.57,0,0,0,0,0,0,0,0
1991,Annual,18,Point,0,2.7,0,0,0,4.19,0,0,0,0
1991,Annual,19,Point,0,1.19,0,0,0,0,0,0,0,0
1991,Annual,21,Point,0.006,0.023,0.052,0.964,0.038,0.17,0,0,0,0
1991,Annual,22,Point,0.105,0,0,1.453,0,0,0,0,0,0
1991,Annual,23,Point,0.048,0.6,0,0,0,0,0,0,0,0
1991,Annual,24,Point,0.001,0.011,0,0,0,0.01,0,0,0,0
1991,Annual,25,Point,0.002,0.035,0,0,0,0.01,0,0,0,0
1991,Annual,26,Point,1.008,0.54,1.652,4.496,26.645,345.26,0,0,0,0
1991,Annual,28,Point,0.008,0.46,0,0,0,1.2,0,0,0,0
1991,Annual,31,Point,0,0.003,0,0,0,0,0,0,0,0
1991,Annual,33,Point,1.186,0.18,0.012,0.019,0.138,0.96,0.0007,0.0021,0,144.62
1991,Annual,34,Point,2.101,0.154,0.007,0.003,0.011,0,0,0,0,0
1991,Annual,35,Point,0.032,0,0,0,0,0,0,0,0,0
1991,Annual,36,Point,0.637,0.13,0.307,0.027,0.405,2051.51,0,0,0,0
1991,Annual,38,Point,1.318,0.051,0.021,0.003,0.082,0,0,0,0,0
1991,Annual,39,Point,0.907,0,0,0,0,0,0,0,0,0
1991,Annual,40,Point,2.765,0.059,0.065,0.404,0.012,0.01,0,0,0,0
1991,Annual,41,Point,5.919,0.003,0,0,0,0,0,0,0,0
1991,Annual,42,Point,0.125,0,0,0,0,0,0,0,0,0
1991,Annual,43,Point,0.008,1.113,0,0,0,0,0,0,0.0004,0
1991,Annual,44,Point,0,0.055,0,0,0,0,0,0,0.0904,0
1991,Annual,45,Point,0,0.681,0,0,0,0,0,0,0,0
1991,Annual,46,Point,0,0.002,0,0,0,0,0,0,0,0
1991,Annual,47,Point,0.038,0.183,0,0,0,0.34,0,0,0.0271,0
1991,Annual,48,Point,0,0.004,0.02,0,0,0.05,0,0,0,0
1991,Annual,49,Point,0,0.08,0,0,0,0,0.0097,0,0,0
1991,Annual,50,Point,0.002,0.34,0,0,0,0,0,0,0,0
1991,Annual,53,Point,0.369,0.155,0,0,0,0.24,0,0,0,0
1991,Annual,54,Point,1.755,0.983,0.015,0.021,0.041,0.28,0.3101,0.0002,0.0018,2.1
1991,Annual,55,Point,0,3.051,0,0,0,0,0,0,0,0
1991,Annual,56,Point,0,2.817,0,0,0,0,0,0,0,0
1991,Annual,57,Point,0,0.162,0,0,0,0,0,0,0,0
1991,Annual,58,Point,0,0.042,0,0,0,0,0,0,0,0
1991,Annual,60,Point,0,1.602,0,0,0,0,0,0,0,0
1991,Annual,62,Point,0,0.331,0,0,0,0,0,0,0,0
1991,Annual,63,Point,0,0.128,0,0,0,0,0,0,0,0
1991,Annual,64,Point,0,0.227,0,0,0,0,0,0,0,0
1991,Annual,67,Point,0,0.006,0,0,0,0,0,0,0,0
1991,Annual,70,Point,0,0.026,0,0,0,0,0,0,0,0
1991,Annual,78,Point,0,0.145,0,0,0,0,0,0,0,0
1991,Annual,80,Point,0,0.003,0,0,0,0,0,0,0,0
1991,Annual,84,Point,0,0.744,0,0,0,0,0,0,0,0
1991,Annual,85,Point,0,0.229,0,0,0,0,0,0,0,0
1991,Annual,92,Point,0,0,0,0,0,0,0,0,0,0
1991,Annual,105,Point,0,2.301,0,0,0,0,0,0,0,0
1991,Annual,106,Point,0,0.041,0,0,0,0,0,0,0,0
1991,Annual,107,Point,0,0.224,0,0,0,0,0,0,0,0
1991,Annual,108,Point,0,1.632,0,0,0,0,0,0,0,0
1991,Annual,109,Point,0,0.766,0,0,0,0,0,0,0,0
1991,Annual,110,Point,0,0.098,0,0,0,0,0,0,0,0
1991,Annual,112,Point,0,2.367,0,0,0,0,0,0,0,0
1991,Annual,115,Point,0,0.133,0,0,0,0,0,0,0,0
1991,Annual,116,Point,0,0.397,0,0,0,0,0,0,0,0
1991,Annual,117,Point,0.002,0.179,0,0,0,0,0,0,0,0
1991,Annual,252,Point,0,4.148,0,0,0,0,0,0,0,0
1991,Annual,253,Point,0,1.207,0,0,0,0,0,0,0,0
1991,Annual,256,Point,0,0.813,0,0,0,0,0,0,0,0
1991,Annual,257,Point,0,0.206,0,0,0,0,0,0,0,0
1991,Annual,258,Point,0,0.223,0,0,0,0,0,0,0,0
